station_id,year,month,temperature,country_code,country_name,latitude,longitude,name
ARM00087506,1970,1,18.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,2,20.46,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,3,16.16,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,4,14.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,5,8.26,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,6,4.46,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,7,4.36,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,8,5.76,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,9,10.76,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,10,12.46,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,11,15.46,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1970,12,18.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,1,18.46,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,2,18.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,3,15.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,4,9.76,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,5,7.46,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,6,2.26,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,7,6.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,8,6.76,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,9,11.16,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,10,13.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,11,18.56,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1971,12,19.76,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,1,21.16,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,2,19.76,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,3,14.86,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,4,10.96,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,5,9.06,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,6,6.26,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,7,3.66,AR,Argentina,-35.494,-69.574,MALARGUE
ARM00087506,1972,8,3.56,AR,Argentina,-35.494,-69.574,MALARGUE
